Ticker,Name,Website,DNBExchange,DNBTicker,NaicsSector,NaicsIndustry,KeyPrincipal,DetailLink,Description
07/08/2010 00:00:00,Fluor Completes Commissioning for Luminant’s Second Oak Grove Unit in Texas,
07/07/2010 00:00:00,Fluor Corporation Announces Second Quarter Earnings Conference Call,
06/29/2010 00:00:00,Fluor Wins $1.3 Billion Mining Contract from Minera Lumina Copper Chile,
06/24/2010 00:00:00,Fluor Adds Rosemary T. Berkery and H. Paulett Eberhart to Board of Directors,
06/24/2010 00:00:00,Fluor Subsidiary P2S Selected to Support BP’S Gulf Coast Cleanup,
06/21/2010 00:00:00,Fluor Named as Program Management Consultant for ADNOC’s Abu Dhabi Gas Project,
06/16/2010 00:00:00,Denver Regional Transportation District Chooses Fluor Team for Eagle Commuter Rail Project,
06/14/2010 00:00:00,Fluor/AMEC JV Wins Canadian Mining Contract,
06/09/2010 00:00:00,SC State University Announces First Corporate Naming on Campus,
06/03/2010 00:00:00,Fluor Completes REC’s Moses Lake Polysilicon Plant Construction,
06/02/2010 00:00:00,Fluor Awarded FEED Contract by Rentech for Rialto Biomass-to-Energy Project,
05/25/2010 00:00:00,Fluor to Present at Credit Suisse 2010 Engineering & Construction Conference,
05/24/2010 00:00:00,Fluor Awarded Series of Contracts by Ma’aden–Alcoa Joint Venture,
05/13/2010 00:00:00,Santos Awards Fluor Early Works Contract for Gladstone LNG Project in Australia,
05/12/2010 00:00:00,Fluor to Present at Robert W. Baird & Co. 2010 Growth Stock Conference,
05/10/2010 00:00:00,Fluor Reports First Quarter Results,
05/10/2010 00:00:00,Fluor Wins South American Mining Contract Worth $170 Million,
05/06/2010 00:00:00,Fluor Corporation Announces Quarterly Dividend,
05/04/2010 00:00:00,Fluor Wins Umm Lulu Offshore Feed Contract in Abu Dhabi,
05/03/2010 00:00:00,Fluor Wins Offshore FEED Contract in Abu Dhabi,
05/03/2010 00:00:00,Fluor Performing Site Services for PG&E’s Diablo Canyon Nuclear Power Plant,
04/28/2010 00:00:00,Fluor to Perform Jetty Boil-Off Gas Recovery Project for Qatargas,
04/12/2010 00:00:00,National Safety Council Recognizes AMECO’s Commitment to Workplace Safety,
04/12/2010 00:00:00,Fluor New Venture in Qatar Wins Five-Year Maintenance Contract for Pearl Gas-to-Liquids Project,
04/08/2010 00:00:00,Fluor Executes Project Labor Agreement with Building Trades Unions for South Texas Project Nuclear Expansion,
04/07/2010 00:00:00,Fluor Secures IBM Facilities Management Contract,
04/07/2010 00:00:00,Fluor Corporation Announces First Quarter Earnings Conference Call,
03/24/2010 00:00:00,ICA Fluor Wins $622 Million Clean Fuels Projects from PEMEX,
